dt,num_mentions
"2017-6-3","59"
"2010-8-19","18"
"2017-4-21","119"
"2019-2-17","76"
"2010-5-23","10"
"2018-2-3","55"
"2012-7-29","16"
"2015-7-5","41"
"2008-9-22","9"
"2019-4-12","130"
"2015-2-15","46"
"2017-6-29","119"
"2015-1-8","72"
"2018-6-14","107"
"2009-4-7","2"
"2018-12-22","60"
"2014-4-21","62"
"2013-10-6","45"
"2011-7-2","14"
"2015-9-26","61"
"2017-1-29","72"
"2015-12-3","87"
"2011-2-22","24"
"2011-5-2","23"
"2016-9-15","71"
"2010-7-4","8"
"2012-6-26","52"
"2016-6-22","117"
"2012-10-1","33"
"2016-5-25","93"
"2008-9-8","2"
"2018-12-21","84"
"2014-12-28","26"
"2015-11-24","110"
"2010-5-26","14"
"2015-5-25","45"
"2015-11-29","50"
"2019-1-25","106"
"2015-8-18","94"
"2012-5-4","26"
"2018-2-10","88"
"2016-2-24","101"
"2014-2-23","54"
"2012-9-26","47"
"2018-8-16","138"
"2009-3-25","8"
"2012-8-2","41"
"2010-6-27","5"
"2014-11-30","55"
"2015-2-12","94"
"2009-7-27","6"
"2018-8-17","101"
"2013-4-13","34"
"2015-1-19","75"
"2017-11-30","120"
"2009-3-24","7"
"2018-9-14","121"
"2019-3-23","91"
"2016-8-24","83"
"2016-2-29","91"
"2015-11-2","77"
"2014-5-6","63"
"2009-3-8","4"
"2019-8-2","149"
"2010-10-20","18"
"2011-8-18","35"
"2013-4-8","53"
"2017-4-6","117"
"2014-7-15","59"
"2018-4-24","125"
"2009-3-31","6"
"2012-3-16","32"
"2010-4-16","8"
"2013-5-25","36"
"2012-7-9","48"
"2017-1-12","92"
"2014-3-28","74"
"2018-7-24","142"
"2019-5-8","128"
"2012-3-20","42"
"2009-6-28","7"
"2011-8-15","22"
"2011-5-8","17"
"2009-12-14","16"
"2018-9-7","112"
"2016-2-4","91"
"2017-8-2","132"
"2013-9-21","38"
"2018-3-29","97"
"2010-7-23","13"
